stime,timestamp,id,source,dest,nhops
0.019603,0.019603,4ZTuar53JTS7Xh9O,5,4,1
0.028448,0.028448,ToUWuW9KwauYMOQc,5,3,1
0.049289,0.049289,RnJWjUJLhC384a5c,5,3,1
0.134648,0.134648,KMtGDp6Fkbnyfv4s,5,4,1
0.181673,0.181673,zW0jhwY8Hamb6b9M,5,4,1
0.380633,0.380633,zCzQl0B4KJSdKeg2,5,4,1
0.479397,0.479397,fPmEZvzQljb6E2qO,5,3,1
0.483856,0.483856,ZU575Amlwk8lCyfu,5,4,1
0.556340,0.556340,AjJAW4wBwuB2EM4W,5,4,1
0.575923,0.575923,wR4Ci5qRT3cVmWEi,5,1,3
0.598894,0.598894,EvfFcmQlot05ZJCh,5,1,3
0.613810,0.613810,D5TGe4tr9Ki5QdDI,5,4,1
0.637278,0.637278,1Ypf4emsmDwOlQ6t,5,1,3
0.673981,0.673981,c8BwOK0fyzqkCw1Q,5,4,1
0.677565,0.677565,cFuSMU98jgUOWohq,5,2,2
0.680005,0.680005,3YFbw2O210g3gcZe,5,1,3
0.851014,0.851014,z8vpq71wGth694p2,5,3,1
0.851914,0.851914,27pmMCgOk8H5NM8Z,5,3,1
0.865712,0.865712,Hajpj4dIZfNmkdUw,5,1,3
0.901558,0.901558,6LPerqWsWtsMMrAQ,5,3,1
0.907028,0.907028,yMf2KaMxu2m0nujx,5,1,3
0.972394,0.972394,ctnMIIdhuht8AMHt,5,2,2
0.987191,0.987191,UTZhLtUbKrKiwwz6,5,3,1
1.127678,1.127678,ILXwErECacYhB7eh,5,2,2
1.192449,1.192449,3M8jhDLgdW8rcxWI,5,4,1
1.195298,1.195298,87dwigavjoQL0SzV,5,4,1
1.437098,1.437098,HSUtRWztGeL7DNxW,5,3,1
1.487790,1.487790,DqkNGNTS8uXWIXCx,5,3,1
1.500918,1.500918,dNUuzSrhaXj4XryK,5,1,3
1.520698,1.520698,TCo7g6WH5EZb9Kz7,5,4,1
1.550683,1.550683,pYN83DqAMwwji4gM,5,3,1
1.565808,1.565808,WNChT5uFi0tc9l1w,5,2,2
1.672201,1.672201,dnBAaaPqrKOTgu8O,5,4,1
1.675157,1.675157,QbHZmntBFfzSstW7,5,4,1
1.778423,1.778423,iyJouxaeFNzIo3Oo,5,3,1
1.812010,1.812010,bZO3ByYuCkbfVJTm,5,1,3
1.836858,1.836858,gx6acazI7i2ZUpbL,5,3,1
1.857810,1.857810,cftVfoJZ3lX162TG,5,2,2
1.912282,1.912282,JomzKgSaQRFWokAa,5,2,2
1.915173,1.915173,tROdI2b44sPgo6BJ,5,4,1
2.045575,2.045575,HoAkDtXwZNRmpehO,5,1,3
2.065569,2.065569,GWcNTAXaLhc6TI7K,5,4,1
2.080149,2.080149,mWHyzMjRZ0UgmtPa,5,4,1
2.081424,2.081424,wJDbzEUGHzwcZunU,5,4,1
2.118420,2.118420,LLL2lhFHKDu9EGiw,5,1,3
2.131602,2.131602,yvjcjFXiDuDoAmhC,5,4,1
2.220046,2.220046,z54XeBhC2M0ZnpdH,5,3,1
2.519328,2.519328,dSIb0ug9f2mVnE8X,5,3,1
2.628739,2.628739,B44FEJdGMkbII07T,5,2,2
2.650193,2.650193,GPp9gVcpHXoWkJFE,5,3,1
2.795867,2.795867,1O5hg5mKlTcjqDdl,5,2,2
2.851275,2.851275,8Q0MgQ0cXxIkTLq7,5,2,2
2.853808,2.853808,3SHWLWspGoadcuAZ,5,4,1
2.950239,2.950239,8CK6E4nPj0haLfKx,5,4,1
2.963826,2.963826,I9xU4ylCcyQfyQZz,5,4,1
3.047997,3.047997,41Fijxo58bhKO3zM,5,4,1
3.092325,3.092325,KDV2Ao37DeyhNJqc,5,4,1
3.096386,3.096386,0HduqOgDewcsgtQQ,5,2,2
3.130988,3.130988,aQ1NHe4yA4Pgeuj7,5,4,1
3.172390,3.172390,QnJGvhZyOyv1K19d,5,4,1
3.198436,3.198436,XtGP3BIz83y7jWfr,5,3,1
3.206698,3.206698,Loscm4MIasmcJup0,5,4,1
3.231139,3.231139,90qqumcxP584zEL3,5,4,1
3.361721,3.361721,H4Hfh86of4o4JIay,5,2,2
3.398663,3.398663,y9niMe6ZYeUs95wh,5,3,1
3.518280,3.518280,sqBWXerriVCfJYej,5,3,1
3.555033,3.555033,6ei9z2oJfJac2MCf,5,4,1
3.617040,3.617040,jJdvKAzICTmvD6Hm,5,3,1
3.620506,3.620506,yi844nmooaXlLhll,5,2,2
3.857802,3.857802,F849scSlf8i6b5C1,5,4,1
3.909198,3.909198,TH7fAEw0L0jN3253,5,1,2
3.916984,3.916984,0mpLSVQUpK6eRyux,5,3,1
3.975521,3.975521,l4R7qdwJ0RU5vsSb,5,3,1
4.075511,4.075511,OWYeyXA6diMMLVdV,5,4,1
4.096255,4.096255,hE6vraIJWHdIiLjy,5,3,1
4.112856,4.112856,xEKc6Lx8zcl5PWsi,5,4,1
4.126793,4.126793,2LnJ8FPYJYq4Nc1N,5,4,1
4.382845,4.382845,sS3WN2Veky8WDAoV,5,1,3
4.398916,4.398916,ACF4YA2nPqxD7Lny,5,1,2
4.407775,4.407775,tOP3gWRXMNmdbR2R,5,1,2
4.473943,4.473943,JD3UcTLNbx4oBrdx,5,1,2
4.677187,4.677187,ZcyFF7bsh385JDMX,5,1,2
4.703753,4.703753,v5LQEuGmr8s4lyoH,5,3,1
4.720627,4.720627,Sn9T7l1B9ER1X57S,5,4,1
4.832091,4.832091,ytXJklDE07AshTQQ,5,1,2
4.850555,4.850555,LupwReeDricoL5gx,5,4,1
4.853956,4.853956,Dz4wJRTsp9E3io6D,5,3,1
4.997162,4.997162,0XutVYiEZpI5oVcV,5,2,2
5.076009,5.076009,xyqAfrwq3hZUArte,5,1,2
5.133446,5.133446,o1PXxss654rLeUzO,5,2,2
5.176676,5.176676,ilAgHl5cChHzRVBe,5,3,1
5.263273,5.263273,LIbcxcB6ibVtzkKH,5,4,1
5.330994,5.330994,54Iu8cTPPYhn3k5F,5,1,2
5.347688,5.347688,wbg83GArVVviruy1,5,1,2
5.643846,5.643846,jPbr8nTX1kxsa76c,5,3,1
5.674067,5.674067,4EZGSoFskDgpWbYz,5,2,2
5.744243,5.744243,vNkyWAuaiMSA6DAs,5,1,2
5.842610,5.842610,u2BOjoDPpswYCOtx,5,3,1
5.847990,5.847990,915pKc8V6RlrmlEW,5,4,1
5.900802,5.900802,wDwdq8IGZaCRgwTD,5,3,1
5.914240,5.914240,0wtdMoGdcUsfJcs1,5,2,2
6.026176,6.026176,ww0ozesncPOZxJkW,5,1,2
6.050192,6.050192,J7rSB7cPpI9Y3LRE,5,2,2
6.163590,6.163590,p8fXtJpNb6iUOa7s,5,2,2
6.182081,6.182081,J3VXaG1awbaLc5FS,5,1,2
6.244200,6.244200,SW2vu1MG7RmiirDb,5,2,2
6.312677,6.312677,BX5vn1s8n218Z61B,5,1,2
6.392948,6.392948,YmUHx8ljG2v4BeNX,5,1,2
6.448780,6.448780,NWPWZzKiVtUZpLM3,5,2,2
6.452525,6.452525,7WRH1uD1OAYnBQRE,5,2,2
6.584758,6.584758,AJTZwewIe06oLyCq,5,3,1
6.627324,6.627324,xIpooZggpt1WlFZN,5,2,2
6.674341,6.674341,FtcMBnyMWNkm1kAs,5,1,3
6.733659,6.733659,S5oQxDz10pAvpbmz,5,2,2
6.812498,6.812498,s91ZVdDifgqLtWxv,5,4,1
6.824234,6.824234,Ugb3Yb2jVDZp1UIW,5,4,1
6.875093,6.875093,1BJMoCS4iMS6YrlW,5,4,1
6.954311,6.954311,bzGwqdNEpsR9x4oI,5,1,3
6.969402,6.969402,Sn1JsUjmQ1Ie3ROa,5,3,1
6.972955,6.972955,XqVwtcDZvCs8zEX4,5,4,1
7.003929,7.003929,PU6WGP4oPRPIx36e,5,4,1
7.035477,7.035477,FkiUAVdVZ235sAXc,5,4,1
7.037152,7.037152,pxwhU7udTmvrHxLZ,5,4,1
7.091305,7.091305,zFWpI7OPmjgshEnF,5,1,2
7.125241,7.125241,d9CX49UCyc1I6jqx,5,2,2
7.164562,7.164562,D0J4x0urolQm268h,5,1,2
7.170223,7.170223,pTKeevmjWlRtFkLV,5,2,2
7.222046,7.222046,NTN4ZQ0YgouTPqMA,5,3,1
7.314119,7.314119,ey88adnNWTXAuIlI,5,1,2
7.425390,7.425390,SFPXBHM1GYWMb2Tk,5,2,2
7.464241,7.464241,1zRIpkPITionGib7,5,4,1
7.559822,7.559822,W26ApQGvaJRg4cWF,5,3,1
7.583194,7.583194,wLNmQfTRmQf7ZDVD,5,3,1
7.617379,7.617379,I4XC4NNgOdoXcml4,5,2,2
7.759100,7.759100,JmW0npjxTSvDPELs,5,2,2
7.792083,7.792083,Q0YCrZRl1BofjGSa,5,4,1
7.876814,7.876814,s2boMjYvNHXFF4mr,5,1,2
7.892323,7.892323,kVj2vRUNMEdilRJY,5,4,1
7.984551,7.984551,17PSYt92OZ6uR1Dt,5,4,1
8.015612,8.015612,9li8Jo3l76y3k4Je,5,1,2
8.039600,8.039600,KjxokUeoTI2n6qSr,5,2,2
8.084997,8.084997,OwjIBaaY1FYLExHP,5,3,1
8.126349,8.126349,cgmaJRDDGPwvxHpQ,5,1,2
8.215300,8.215300,13NvIY1D54jGEUA0,5,3,1
8.246482,8.246482,RK23JEOm1k7xZc6i,5,2,2
8.248644,8.248644,h6e03rwMaIB5dP99,5,2,2
8.299154,8.299154,WBay2B7uwrMKeafR,5,4,1
8.391144,8.391144,p3VPBc6dtUU8gnDp,5,3,1
8.441318,8.441318,AbFqAkRO7gmFdqPH,5,2,2
8.524795,8.524795,5HgvVwGJ45R6xNoR,5,4,1
8.568423,8.568423,XK08hHjd2JLSUT2w,5,4,1
8.649582,8.649582,o7H8DPsLo01zDHRo,5,2,2
8.808817,8.808817,6UNP6rmjSSlL51ND,5,2,2
8.822776,8.822776,jIXXjvMlPYFXtfhb,5,3,1
8.852324,8.852324,GKR7LfkuDgYM38X0,5,2,2
8.865395,8.865395,PJQeQ4fOfqcVJedw,5,3,1
8.934332,8.934332,i7Xvm1i2hem2o72H,5,1,2
8.994019,8.994019,tFddfAnVeh5lqFTT,5,3,1
9.014210,9.014210,4gYBaBJEZNFrgyRd,5,4,1
9.055176,9.055176,rX3aObFwM23cS5qX,5,3,1
9.069378,9.069378,hE3yZ0zeMfXIzEzU,5,3,1
9.099784,9.099784,DiCpZopUOxuqoeEr,5,1,2
9.225795,9.225795,n3ngu5DCO7D6SzZ5,5,4,1
9.248250,9.248250,mLQ14asfdZ1yBnbx,5,2,2
9.259030,9.259030,ksavftFlrFEesmxM,5,2,2
9.290029,9.290029,m6ugHGL2WkgR2qiw,5,4,1
9.348551,9.348551,8KYrNXKRP515pn2X,5,4,1
9.362968,9.362968,RXUqyZ1wcAoWbNyz,5,2,2
9.385840,9.385840,3OvrNuiydiurelX1,5,2,2
9.410049,9.410049,80e4mLz4TXmxBHaB,5,4,1
9.503738,9.503738,Z1oungynUF9c4Sbj,5,4,1
9.534671,9.534671,xNqgt3tyLKujXexp,5,3,1
9.547972,9.547972,xqmQRyuoQ5MbOvQM,5,1,2
9.578423,9.578423,cdUp7sJU98cSKOZJ,5,3,1
9.622309,9.622309,jVIAnP7LG7jGaQbw,5,1,2
9.652459,9.652459,cRMe14ielRZkK8Ae,5,4,1
9.669453,9.669453,bXJioLlQERaFggnl,5,4,1
9.669648,9.669648,ywqNyqfg9NyzDXg4,5,3,1
9.769258,9.769258,8hMJglzBfr67hfZJ,5,3,1
9.776070,9.776070,Da0ntpuYCfd4eIzL,5,2,2
9.778731,9.778731,GTDC6Y5XKPTcreeB,5,4,1
9.789614,9.789614,sWfCIrGDE26k0m8z,5,2,2
9.800017,9.800017,j5ta4wIbQZlg50s6,5,3,1
9.964496,9.964496,0QzmYHN49WsSXz6e,5,3,1
10.049646,10.049646,7X0nNd6mjxG90kAF,5,4,1
10.140694,10.140694,7j5Z2YcMRMlAvQBL,5,4,1
10.213887,10.213887,7t4TcfXpUi0sxTA2,5,4,1
10.256592,10.256592,iwq7MYKXSOqmRa0D,5,2,2
10.304077,10.304077,F7Uexz6RU9sW833p,5,3,1
10.312126,10.312126,wT9kWzT3PmdfR9OO,5,3,1
10.323831,10.323831,S6XPJeD4tdznN31v,5,4,1
10.347635,10.347635,M1etT6ONcVOpRogF,5,4,1
10.376124,10.376124,Kdw7zKO42s5HLMe9,5,3,1
10.426567,10.426567,ca2he9N9ProaBBF4,5,1,3
10.489192,10.489192,nTkctTRLWEuuMjeG,5,4,1
10.572106,10.572106,UTp5Fvm8rK1FsrCS,5,3,1
10.577496,10.577496,BvwVXKwB34uFsiqJ,5,2,2
10.632730,10.632730,Osl1shhuSxWMbQiY,5,4,1
10.655365,10.655365,JM9kwhcpW7hSO4IQ,5,1,2
10.697585,10.697585,sl77BJTVo8IgwhDV,5,2,2
10.716277,10.716277,ccWQQPwYfhaDDJV2,5,3,1
10.738632,10.738632,2QUSTrvEmS8PHvrq,5,3,1
10.760215,10.760215,gEB0CSSq9iPVtDOI,5,1,2
10.837725,10.837725,gh9mSJPyLTzXtNim,5,3,1
10.947561,10.947561,VBNmhZJx3AiBEwd8,5,4,1
10.977065,10.977065,5C6onxjEa5CbYs2k,5,4,1
