stime,timestamp,id,source,dest,nhops
0.008326,0.008326,c3JTJGXBehDvO91B,1,4,2
0.033826,0.033826,EKR05zWQvC3JoUxU,1,5,3
0.080459,0.080459,G5BOKyfVt2Ty9Tbw,1,5,3
0.113404,0.113404,tEK4qD8xrtKxtXec,1,4,2
0.150725,0.150725,slpK9Gz6RSmQ7EuO,1,3,2
0.155730,0.155730,oNPPISB3uELcFXMu,1,3,2
0.199525,0.199525,PCg5N6l8d1cWw21K,1,5,3
0.244215,0.244215,aRiNctbxSXQyRaOT,1,5,3
0.367488,0.367488,tv0BX0tETF1dip9F,1,4,2
0.389675,0.389675,1t7rVF3gZAuAeZ9J,1,4,2
0.404680,0.404680,pvWVPjBM1Bit3U2A,1,4,2
0.412435,0.412435,MjNuehGg4bNdK5GJ,1,3,2
0.482719,0.482719,8FOLLQabRmBvNksz,1,4,2
0.487571,0.487571,LJzw2AWZebrrIhwE,1,2,1
0.518530,0.518530,s40PYQ2ahnXPw4ot,1,3,2
0.629097,0.629097,Du5HQFO1oPHPyUGG,1,2,1
0.690291,0.690291,fSsz95WbACpap3hS,1,3,2
0.708834,0.708834,o2MiM8gwdYRkeFYw,1,5,3
0.733442,0.733442,wdKpRbzPnbDcJhPW,1,3,2
0.734396,0.734396,hjHAS1eHE1QZHSfZ,1,3,2
0.788838,0.788838,U7NicHEOjeJrJ6sY,1,5,3
0.790935,0.790935,0yWGzht3iNMR84gz,1,4,2
0.853654,0.853654,rfahzKywL2NVVgMf,1,5,3
0.890637,0.890637,mm8FuMmWSoW3adP9,1,3,2
0.905913,0.905913,32fMdZAVSn4sqIrK,1,4,2
0.961003,0.961003,au7ipRXkoRoyeazz,1,5,3
1.011201,1.011201,HDhNDl1gXQkHnPDW,1,3,2
1.026725,1.026725,L3bTHOTzltf4uyJM,1,5,3
1.044367,1.044367,qJIjUNHEuOYf3ULg,1,5,3
1.055424,1.055424,lr25sjBXHPW8roe1,1,5,3
1.124498,1.124498,K5VAgJmuFhWbAyZj,1,2,1
1.157468,1.157468,TnaAg2moHTyhrvHs,1,2,1
1.176037,1.176037,5xQlhA34UHYDzhUO,1,3,2
1.286379,1.286379,YC1bcKzvPAPM3qZm,1,4,2
1.334927,1.334927,bpKFfDtUxsPlUg0F,1,5,3
1.422063,1.422063,IpDikkLfHvKEihCS,1,5,3
1.470697,1.470697,u1cG5NIMQtV036aY,1,4,2
1.528442,1.528442,jtEDoY2V68xZVKif,1,2,1
1.555978,1.555978,ccQRlGhgjBzJnzHL,1,3,2
1.576285,1.576285,6K4yeAgxmkctHy7U,1,2,1
1.591675,1.591675,68Lt5yuNcjRP4r3a,1,4,2
1.753233,1.753233,x3tXZDsuWp17tOVE,1,5,3
1.781108,1.781108,wGexGHRYMvcfNGGR,1,4,2
1.811454,1.811454,AUS5iL8cRVH15qJP,1,4,2
