stime,timestamp,id,source,dest,nhops
0.161000,0.097604,8peR3fzeGcf7yHBQ,2,1,1
0.371000,0.049232,8vblUJpmTcG3jEt2,4,1,2
0.791000,0.682913,GG0Kvh87wl7gyzJT,2,1,1
0.966000,0.914593,Nivg4ih8ZQdvhqZE,2,1,1
1.142000,1.081238,vb7e3U0wvyJSKhuk,2,1,1
1.177000,0.273700,vzCBbRmE6uBVnwS7,3,1,2
1.212000,0.260579,ehbn43PgspzLjCUs,3,1,2
1.317000,1.258306,cLBTm2xIMPHBQ2A3,2,1,1
1.387000,1.329975,4zqlYqM4KexIXYuR,2,1,1
1.702000,1.640809,7ylgIbPIJ0WbNyXZ,2,1,1
1.842000,1.715806,dtvaOE5hOZQPnljo,2,1,1
1.982000,1.700307,8V6Pngnvn1hfj2H7,2,1,1
2.262000,2.196986,R5UQRAkim09CWQ4g,2,1,1
2.437000,2.363937,5L5WhYAX7shS4Uht,2,1,1
2.577000,0.522733,9g2VhKQlfNnX7q05,4,1,2
2.612000,2.546338,XmNKbIPFfgNqp02E,2,1,1
2.647000,2.591725,CeN6xRwwaFAAHryx,2,1,1
2.857000,0.575923,wR4Ci5qRT3cVmWEi,5,1,3
2.927000,2.884437,OQ1GX33ViiETc7HU,2,1,1
2.997000,2.954577,djFSwjPLtVAHKwaS,2,1,1
3.172000,3.121579,a0tT9R5LLqgEX34v,2,1,1
3.242000,3.183172,MrqPFd8o4u1KZ78d,2,1,1
3.347000,0.632596,WbQxVVKGashWmAUA,3,1,2
3.382000,0.598894,EvfFcmQlot05ZJCh,5,1,3
3.417000,0.648702,bOaE2UJ8lcyds9ej,3,1,2
3.452000,0.637278,1Ypf4emsmDwOlQ6t,5,1,3
3.802000,3.749557,EpwjKJOtxREENmeb,2,1,1
3.872000,3.738432,XhXXUEl2dpNMickG,2,1,1
4.012000,3.833343,uyVp7BuKd1ykNpYr,2,1,1
4.117000,4.028742,l4oR5fSAC69dqs55,2,1,1
4.187000,4.114051,Y6TuHobroIiQERAU,2,1,1
4.222000,3.985193,dmUzf0wQny7SesgZ,2,1,1
4.292000,3.734169,PNISEibDOCXMeBmX,2,1,1
4.327000,0.699391,TLmVwODTQKe9dQ7b,4,1,2
4.572000,0.680005,3YFbw2O210g3gcZe,5,1,3
4.747000,4.698203,A4C9BLm8mniyYQhl,2,1,1
4.852000,4.805464,OWUCMhpFxXtQjbDs,2,1,1
4.992000,4.936641,SrB8rGcglPaRLCT7,2,1,1
5.026000,4.923266,drkjVeomRXJ1WMdC,2,1,1
5.411000,0.916072,GuI6UbsfymDgvZHM,3,1,2
5.481000,0.865712,Hajpj4dIZfNmkdUw,5,1,3
5.551000,0.907028,yMf2KaMxu2m0nujx,5,1,3
5.586000,5.517912,2TpZ252FnlHg78HD,2,1,1
5.691000,0.958613,ctDKPaj0AToLOVSE,3,1,2
5.796000,5.743913,vctJHKkAZH4GSAZc,2,1,1
6.111000,6.059187,WabQMoZj9lO99TmQ,2,1,1
6.146000,1.099582,ZAS3MnnUtZTUD4lW,4,1,2
6.601000,1.125788,WYZOTHdVrmxXfMeW,3,1,2
6.776000,6.701713,GJd7bgSFeRg9bFuz,2,1,1
6.846000,6.777310,1inLsAUVTyRPO7JV,2,1,1
7.056000,1.198809,kGBsTGaqffKvBhVd,4,1,2
7.126000,1.215940,IyLATkRXt3hi3sXL,4,1,2
7.791000,1.399947,w1SzRTBqIbgcYOE4,4,1,2
7.896000,7.852877,46NmBu5v3AUGUWGU,2,1,1
8.071000,1.501426,du7L3wHsnuCbyalE,3,1,2
8.176000,1.500918,dNUuzSrhaXj4XryK,5,1,3
8.666000,8.332774,Rhg2wSSkZpsCMKPJ,2,1,1
8.736000,1.652477,VMEluI4Dhz1evI8n,3,1,2
8.946000,1.698306,lwASwqp0OACxqDRd,4,1,2
8.981000,1.704829,FBX9uNLEcOL4MV4P,4,1,2
9.016000,8.964949,bWPosHdacvXHB9uN,2,1,1
9.051000,8.941858,wxRq03aDdCtaRQ9P,2,1,1
9.086000,9.041156,TZxXFtST7zJ3oknj,2,1,1
9.156000,9.109984,nArx5A7dMu1HXBok,2,1,1
9.261000,9.213736,ha1aeiD6zHyIso2V,2,1,1
9.331000,9.281397,5QJSa5q8zh7C15kf,2,1,1
9.401000,9.335828,DT4in8rk1tM7PY92,2,1,1
9.541000,9.481405,OZytPNohPuudRxRC,2,1,1
9.576000,9.517386,gDFJkGyy08Gu9KSL,2,1,1
9.927000,9.859224,jLwYHd4DDPAQOCFz,2,1,1
10.067000,1.697182,NGHvNVPCAk5VmhQg,4,1,2
10.137000,10.079388,WdSZf8bYxMxk8yTK,2,1,1
10.452000,10.404832,n8D1Rj85H5XX4IgE,2,1,1
10.627000,1.812010,bZO3ByYuCkbfVJTm,5,1,3
10.802000,10.747676,ortwKFHTqfuWosH4,2,1,1
10.907000,10.856683,elm6rwUAt2JlCSzp,2,1,1
10.977000,1.933350,k9Bpm4douOMx97tW,3,1,2
11.117000,11.040751,34irblGdCLk74GEN,2,1,1
11.257000,11.205435,FTYCENN6wmTRMhrW,2,1,1
11.327000,11.260413,heyb5JFC9IpvM6sE,2,1,1
12.307000,2.045575,HoAkDtXwZNRmpehO,5,1,3
12.482000,2.133504,i4ZzzUniS7HYK2R8,4,1,2
12.517000,12.474479,mEVy7J0cVuZqSKPT,2,1,1
12.657000,12.548599,kfFOYmF8RdGdNCtm,2,1,1
12.692000,12.616174,cxM8BwUtPTH5MVp6,2,1,1
12.867000,12.805757,hyjVNnZZ9BXMRnwW,2,1,1
12.902000,12.778071,TBRrrOklRjxnCZKm,2,1,1
12.937000,12.734234,C9i74zI280QnkGpl,2,1,1
13.007000,12.954561,ZvziBsBlV1fa66gY,2,1,1
13.042000,12.997355,LXq4Yv5gkNhhqaIg,2,1,1
13.077000,12.445929,vW1vMFHBpBbijheT,2,1,1
13.147000,2.118420,LLL2lhFHKDu9EGiw,5,1,3
13.672000,2.246136,vdp0Rd3pG3cpBitP,3,1,2
13.707000,13.663188,Mt3CZ3zIn5hWHXFu,2,1,1
13.777000,13.718082,JiILBSAhHDiwW71Q,2,1,1
13.812000,13.647481,usLJQxA1LyanaDqi,2,1,1
13.953000,13.900273,AhB3U6JeYrIc0FtI,2,1,1
13.987000,13.890182,nrfzj0T0StMaYzuC,2,1,1
14.127000,14.063048,uQBLaTPTcDuK1t2H,2,1,1
14.232000,2.294003,dfpui8ftGjVApbKy,4,1,2
14.372000,14.326247,ChmJdKQ74Wnjk842,2,1,1
14.477000,14.325470,VzubFgHBvyn3DY9z,2,1,1
14.512000,14.449497,MoRzpkImSLtu0hiX,2,1,1
14.792000,14.723706,2Qiskhrizf3EdDi0,2,1,1
14.932000,2.512713,NhaCCyMLBtqi79UK,3,1,2
15.002000,14.918387,06CBeOt3hT4xasFT,2,1,1
15.037000,2.548900,OObT27PjDDGa5Dy5,3,1,2
15.107000,2.632230,M7oVvY7tt313mLJQ,4,1,2
15.212000,15.157123,xED75UYHqFSGd5U7,2,1,1
15.247000,15.185864,C78UTKtTZ2jpe0wU,2,1,1
15.317000,15.247186,qUBcsoUsdPMvQWkq,2,1,1
15.387000,15.343065,Tyc0FTyuJQK6i919,2,1,1
15.422000,15.182598,Kqe8UbbeH5eyAYhu,2,1,1
15.457000,15.404239,ogHmDIf4l1kH3nHu,2,1,1
15.597000,15.488100,NzbtHzgQ6TriMQpy,2,1,1
15.632000,15.576569,gKLe7yEG54ol7BH7,2,1,1
15.667000,15.610355,mfUMOl3aSHCqmlm0,2,1,1
15.737000,2.665736,V8AHbZuypkMfoPRT,3,1,2
15.807000,15.697435,Y0jQLlB8ya775lkr,2,1,1
16.017000,2.679850,NIlpGJ0BHWv3M8Ft,3,1,2
16.227000,16.177148,BjRSWUDmS1IKrCXQ,2,1,1
16.402000,16.332824,hq1iZ7t14DVvtXgr,2,1,1
16.472000,16.399194,YsH4NsEhg6rFNJVY,2,1,1
16.577000,16.529806,knWKaDi9dlm6C1o4,2,1,1
16.682000,3.436706,RKcilaAHiJAQ8G9l,4,1,2
