stime,timestamp,id,source,dest,nhops
0.101000,0.020973,sui7kwfMcz3bwWhm,2,5,2
0.307000,0.033826,EKR05zWQvC3JoUxU,1,5,3
0.352000,0.264513,BjjOiUOFuPoBLFuk,2,5,2
0.424000,0.080459,G5BOKyfVt2Ty9Tbw,1,5,3
0.618000,0.575923,wR4Ci5qRT3cVmWEi,5,1,3
0.638000,0.199525,PCg5N6l8d1cWw21K,1,5,3
0.658000,0.598894,EvfFcmQlot05ZJCh,5,1,3
0.678000,0.592151,1SI1Pd2LwQKEg2Kc,2,5,2
0.688000,0.637278,1Ypf4emsmDwOlQ6t,5,1,3
0.721000,0.677565,cFuSMU98jgUOWohq,5,2,2
0.741000,0.680005,3YFbw2O210g3gcZe,5,1,3
0.870000,0.786291,KOVqZweOAXhhUXBO,2,5,2
0.924000,0.244215,aRiNctbxSXQyRaOT,1,5,3
0.944000,0.865712,Hajpj4dIZfNmkdUw,5,1,3
0.964000,0.907028,yMf2KaMxu2m0nujx,5,1,3
1.015000,0.972394,ctnMIIdhuht8AMHt,5,2,2
1.171000,1.127678,ILXwErECacYhB7eh,5,2,2
1.542000,1.500918,dNUuzSrhaXj4XryK,5,1,3
1.616000,1.565808,WNChT5uFi0tc9l1w,5,2,2
1.782000,1.719394,VQExe0YSjlkx6oGt,2,5,2
1.854000,1.812010,bZO3ByYuCkbfVJTm,5,1,3
1.899000,1.857810,cftVfoJZ3lX162TG,5,2,2
1.958000,1.912282,JomzKgSaQRFWokAa,5,2,2
2.026000,1.959429,x7qtW8kC1EHyacL9,2,5,2
2.087000,2.045575,HoAkDtXwZNRmpehO,5,1,3
2.160000,2.118420,LLL2lhFHKDu9EGiw,5,1,3
2.236000,2.177480,dwNOn9Im4z22CeQu,2,5,2
2.670000,2.628739,B44FEJdGMkbII07T,5,2,2
2.731000,2.670534,do38qCKArut5sifY,2,5,2
2.763000,2.681016,g1CJiyGlqfWQh9Z7,2,5,2
2.837000,2.795867,1O5hg5mKlTcjqDdl,5,2,2
2.893000,2.851275,8Q0MgQ0cXxIkTLq7,5,2,2
3.076000,3.004761,SSlYbydITtRxFj1M,2,5,2
3.138000,3.096386,0HduqOgDewcsgtQQ,5,2,2
3.423000,3.361721,H4Hfh86of4o4JIay,5,2,2
3.496000,3.444716,x75ev2stQYPcpbgW,2,5,2
3.636000,3.569752,1fS9Nb8X5s2EEs7j,2,5,2
3.669000,3.620506,yi844nmooaXlLhll,5,2,2
3.679000,3.592586,SJpBTsF8DzluTftc,2,5,2
3.741000,0.708834,o2MiM8gwdYRkeFYw,1,5,3
3.916000,3.854803,NTXNeo81HEKwl4Qe,2,5,2
3.961000,3.909198,TH7fAEw0L0jN3253,5,1,2
3.986000,3.881181,xbnf6YsEQD7OxVl4,2,5,2
4.424000,4.382845,sS3WN2Veky8WDAoV,5,1,3
4.440000,4.398916,ACF4YA2nPqxD7Lny,5,1,2
4.450000,4.407775,tOP3gWRXMNmdbR2R,5,1,2
4.531000,4.473943,JD3UcTLNbx4oBrdx,5,1,2
4.724000,4.677187,ZcyFF7bsh385JDMX,5,1,2
4.754000,0.788838,U7NicHEOjeJrJ6sY,1,5,3
4.794000,4.726987,9A51rj9E7sHnTTyg,2,5,2
4.875000,4.832091,ytXJklDE07AshTQQ,5,1,2
4.906000,4.795777,qOR5P23A43NegrMb,2,5,2
5.040000,4.997162,0XutVYiEZpI5oVcV,5,2,2
5.106000,0.853654,rfahzKywL2NVVgMf,1,5,3
5.119000,5.076009,xyqAfrwq3hZUArte,5,1,2
5.176000,5.133446,o1PXxss654rLeUzO,5,2,2
5.210000,5.153929,LovRzmPcvmoQ8jy7,2,5,2
5.250000,5.187809,M3iwUEabSlqAfTsu,2,5,2
5.373000,5.330994,54Iu8cTPPYhn3k5F,5,1,2
5.393000,5.347688,wbg83GArVVviruy1,5,1,2
5.525000,0.961003,au7ipRXkoRoyeazz,1,5,3
5.717000,5.674067,4EZGSoFskDgpWbYz,5,2,2
5.787000,5.744243,vNkyWAuaiMSA6DAs,5,1,2
5.910000,1.026725,L3bTHOTzltf4uyJM,1,5,3
5.953000,1.044367,qJIjUNHEuOYf3ULg,1,5,3
5.963000,5.914240,0wtdMoGdcUsfJcs1,5,2,2
5.983000,1.055424,lr25sjBXHPW8roe1,1,5,3
6.029000,5.935390,nds9iHnvZ6nj5SRX,2,5,2
6.076000,6.026176,ww0ozesncPOZxJkW,5,1,2
6.093000,6.050192,J7rSB7cPpI9Y3LRE,5,2,2
6.206000,6.163590,p8fXtJpNb6iUOa7s,5,2,2
6.225000,6.182081,J3VXaG1awbaLc5FS,5,1,2
6.287000,6.244200,SW2vu1MG7RmiirDb,5,2,2
6.355000,6.312677,BX5vn1s8n218Z61B,5,1,2
6.400000,6.339510,227UChXNaCikPNCV,2,5,2
6.444000,6.392948,YmUHx8ljG2v4BeNX,5,1,2
6.491000,6.448780,NWPWZzKiVtUZpLM3,5,2,2
6.501000,6.452525,7WRH1uD1OAYnBQRE,5,2,2
6.670000,6.627324,xIpooZggpt1WlFZN,5,2,2
6.735000,6.674341,FtcMBnyMWNkm1kAs,5,1,3
6.776000,6.733659,S5oQxDz10pAvpbmz,5,2,2
6.960000,6.849705,UxrVfhAEIYgTZ2Vm,2,5,2
7.005000,6.954311,bzGwqdNEpsR9x4oI,5,1,3
7.134000,7.091305,zFWpI7OPmjgshEnF,5,1,2
7.168000,7.125241,d9CX49UCyc1I6jqx,5,2,2
7.207000,7.164562,D0J4x0urolQm268h,5,1,2
7.217000,7.170223,pTKeevmjWlRtFkLV,5,2,2
7.357000,7.314119,ey88adnNWTXAuIlI,5,1,2
7.380000,7.328201,q4UcNXTc4ZTkZdoa,2,5,2
7.415000,7.354552,DNktQCNYsPfC6Vpp,2,5,2
7.468000,7.425390,SFPXBHM1GYWMb2Tk,5,2,2
7.625000,7.490069,4UulQlVPh9tv931g,2,5,2
7.662000,7.617379,I4XC4NNgOdoXcml4,5,2,2
7.672000,7.590270,9EnyrWJ4JqosAeyW,2,5,2
7.730000,1.334927,bpKFfDtUxsPlUg0F,1,5,3
7.802000,7.759100,JmW0npjxTSvDPELs,5,2,2
7.877000,1.422063,IpDikkLfHvKEihCS,1,5,3
7.919000,7.876814,s2boMjYvNHXFF4mr,5,1,2
8.010000,7.836860,iwWwTuJCPRLWvdN2,2,5,2
8.068000,8.015612,9li8Jo3l76y3k4Je,5,1,2
8.082000,8.039600,KjxokUeoTI2n6qSr,5,2,2
8.169000,8.126349,cgmaJRDDGPwvxHpQ,5,1,2
8.291000,8.246482,RK23JEOm1k7xZc6i,5,2,2
8.311000,8.248644,h6e03rwMaIB5dP99,5,2,2
8.484000,8.441318,AbFqAkRO7gmFdqPH,5,2,2
8.500000,8.368246,opfSdzFMkHb0lqf4,2,5,2
8.640000,8.486354,YdNUKolFJv3k1RHw,2,5,2
8.692000,8.649582,o7H8DPsLo01zDHRo,5,2,2
8.850000,8.798490,KvZvYgQWCsyhKsLU,2,5,2
8.860000,8.808817,6UNP6rmjSSlL51ND,5,2,2
8.885000,8.819048,Yf3B0z1AQf922DGz,2,5,2
8.895000,8.852324,GKR7LfkuDgYM38X0,5,2,2
8.977000,8.934332,i7Xvm1i2hem2o72H,5,1,2
9.142000,9.099784,DiCpZopUOxuqoeEr,5,1,2
9.291000,9.248250,mLQ14asfdZ1yBnbx,5,2,2
9.302000,9.259030,ksavftFlrFEesmxM,5,2,2
9.405000,9.362968,RXUqyZ1wcAoWbNyz,5,2,2
9.428000,9.385840,3OvrNuiydiurelX1,5,2,2
9.487000,9.423644,qStGH1BsBWPAqWs3,2,5,2
9.515000,9.463267,UDCwqhYmzhTqE4LJ,2,5,2
9.590000,9.547972,xqmQRyuoQ5MbOvQM,5,1,2
9.665000,9.622309,jVIAnP7LG7jGaQbw,5,1,2
9.691000,9.621311,9dyCGwcf4RVfZ8nS,2,5,2
9.822000,9.776070,Da0ntpuYCfd4eIzL,5,2,2
9.832000,9.789614,sWfCIrGDE26k0m8z,5,2,2
9.971000,9.447383,ZGHkFAJzL6JZuxeu,2,5,2
10.006000,9.398521,WkYkKo9pYXdasJhS,2,5,2
10.182000,10.071516,UNvAHlFhLD49Ez39,2,5,2
10.216000,10.151310,zGgO0U8hXBGd6GVI,2,5,2
10.286000,1.753233,x3tXZDsuWp17tOVE,1,5,3
10.298000,10.256592,iwq7MYKXSOqmRa0D,5,2,2
10.468000,10.426567,ca2he9N9ProaBBF4,5,1,3
10.505000,10.416607,8O2vm1ooroVazkZs,2,5,2
10.624000,10.577496,BvwVXKwB34uFsiqJ,5,2,2
10.694000,1.856168,KclhfsZMGp1UUONq,1,5,3
10.704000,10.655365,JM9kwhcpW7hSO4IQ,5,1,2
10.739000,10.697585,sl77BJTVo8IgwhDV,5,2,2
10.802000,10.760215,gEB0CSSq9iPVtDOI,5,1,2
11.021000,10.960063,v8D4dTNIqnEnkOkX,2,5,2
11.131000,11.089511,pr72lNdzijw3g7Fz,5,2,2
11.196000,11.144504,R6LJKbWCUhobbrsG,2,5,2
11.274000,11.212598,FJPlohvUCZamZnKc,5,2,2
11.284000,11.228847,6zPjwE1cmR5oLWNJ,5,2,2
11.301000,11.234489,usBg6xa8e8chE6Sq,2,5,2
11.362000,11.320369,hscbN8aOKlNPnRGZ,5,2,2
11.467000,11.425968,fQjn2ZUIAz3mZVgY,5,1,3
11.477000,11.427530,Qe1O3xbasfNQESvB,5,1,2
11.576000,11.509354,LcgbNNETN4mev5cN,5,2,2
11.656000,11.607088,1cTiZ2XsKzwwbIu2,5,2,2
11.711000,11.669820,ZduZi3rgsb3uIRTj,5,1,2
11.753000,11.711636,Ni18lRhiJeELnn8a,5,1,3
11.908000,11.866168,x6YoPeNwn1aoryST,5,1,2
11.938000,11.859173,BuqbiCot5UrFpgQS,2,5,2
11.966000,2.058928,SCDg6MJrZ0Kkd1Lw,1,5,3
11.986000,11.944469,D697bnQp5rPC3zDw,5,1,2
12.036000,11.982271,waBjABmHu5C6hRHO,2,5,2
12.106000,12.050055,ob5gCHx8gOAHVJxB,2,5,2
12.129000,12.082711,8AJv369Vm10n6lie,5,1,2
12.176000,12.115432,dFTV0ofl9MgbQ0z8,2,5,2
12.196000,12.139367,etSVCR4QjjbsquEQ,5,1,3
12.223000,12.181385,D9D4dHwLZvgokwRH,5,1,2
12.284000,12.230848,tphZy3MDCCs67Npt,5,2,2
12.318000,12.276082,DRhPDAg6ksHW8LgK,5,1,2
12.328000,12.280385,6DZYNB8wH7cNTaBH,5,1,2
12.432000,12.390477,5XnCbmwfaPzV2Nss,5,1,2
12.454000,12.412002,UB4Aey3a8Aw9REtq,5,2,2
12.464000,12.401321,wu1USaJFHyc0kWD1,2,5,2
12.544000,12.502402,xPkGjbLpw5yTNU6n,5,2,2
12.564000,12.476792,aD7VFPacyW1N4c4F,2,5,2
12.584000,12.535269,MynpDs3TbxN3FvWc,5,1,2
12.604000,12.462660,4NRgSZP2zYOqw1O8,2,5,2
12.614000,12.556927,RyjqUCQq7wptEufj,5,2,2
12.631000,12.577695,GIu15kN59MBLAirJ,2,5,2
12.736000,12.653389,pcsQnpK1k4Ts7ZMt,2,5,2
12.771000,12.695313,SZ8ErugbQFVTQVjg,2,5,2
12.802000,12.760549,n1pNZblBaIud4Esj,5,1,2
12.812000,12.743842,zYIWhtdolP5i8mcO,2,5,2
12.900000,12.858986,vidDeGkGPfcnbrjM,5,2,2
12.935000,12.885560,rLAPoFV9kxukqHyh,5,2,2
12.983000,12.730006,Fvs2cF0qywWY9qEB,2,5,2
13.158000,13.116619,cdiXW1S9Y5yxWQ82,5,2,2
13.169000,13.127518,jgHVijTIQGVBfPY7,5,2,2
13.261000,13.192692,YLTpT9KhxVuuvwxn,2,5,2
13.296000,13.241326,5xALGvuNBzMoJliW,2,5,2
13.437000,13.231437,POYeHCQaQfc3kM4Z,2,5,2
13.563000,13.521171,iwR4n5wzj8ht3Pvo,5,2,2
13.593000,13.500760,poVzOdR21bvtRt5h,2,5,2
13.621000,13.574119,mgDM63xkY9l5Vq6j,5,1,2
13.641000,13.579941,QmlNuTj8WzNrFw4X,5,1,2
13.661000,13.606753,3sOTOUAeTdnHfhJo,5,1,2
13.714000,13.666579,SfVQndhcx3hxXc91,5,2,2
13.737000,13.695046,gEVJM9BmoJY1PdqG,5,2,2
13.813000,13.769307,0aH3C0XUYnVWjV79,5,1,2
13.967000,13.925100,bQc5J6Fv5zLHzhoE,5,2,2
14.031000,13.975062,DoM6xN3mpyNyI9UA,2,5,2
14.073000,13.960141,7qNYl277pjECidCu,2,5,2
14.206000,14.154228,iUlmA006YvtAr0DW,2,5,2
14.216000,14.164658,pJAuA5sQMvpHrWTO,5,1,2
14.252000,14.210236,wuJAOSXTH897PJBB,5,1,2
14.332000,14.211364,jgr3kXwophUYr66X,5,2,2
14.352000,14.237644,A7jCNSS6H2AUISOm,5,1,2
14.372000,2.312612,oL9hfSevuhVSs3SO,1,5,3
14.451000,14.349827,bIAJZYVvh37OTqci,2,5,2
14.501000,14.459754,Rbz6CWd4apxc0Axf,5,2,2
14.521000,14.479874,6J4i5kUjg8iS1zwC,5,1,2
14.561000,14.303766,JzJ41LLBInLYdYY4,2,5,2
14.646000,14.595370,eL0ZTVuaF6IheWsj,5,1,2
14.666000,14.608234,mlaGlN7RAL3MiYUX,5,2,2
14.678000,14.636296,CufdiKPqYqv6DusL,5,1,3
14.702000,14.660978,ENyaRw6vOWkIJvyU,5,2,2
14.812000,14.770306,bXfG0gTywQWmFZBZ,5,1,2
14.906000,14.850080,UtD0XKsfRKeUZOEP,2,5,2
14.951000,14.909560,eBssqqDLyo87veWZ,5,1,2
15.004000,14.947732,zpzQanYI8elep3GR,5,2,2
15.029000,14.987506,ipaMdqdlZ9wsoaVq,5,2,2
15.051000,15.009218,u9nWiiDMqWKCrmpG,5,2,2
15.242000,15.189808,ESr8kGKPdlU2S5sK,5,1,2
15.364000,15.322436,hbRM6ZeppawI9PXy,5,1,2
15.406000,15.354880,gzNT3vWT8sKwt1mH,5,2,2
15.462000,15.420441,GoulQ4CsmbPXKAGr,5,2,2
15.618000,15.576085,4rKzuh3HLd0Sk5tc,5,2,2
15.711000,2.677944,tNBtYL1e5QCtYcG7,1,5,3
15.781000,15.714338,le2Ly0qDFADHgsMm,2,5,2
15.854000,15.778601,aMNPV32FdxexD7ad,2,5,2
15.886000,15.804339,e004iGRW2U91OwNm,2,5,2
15.914000,15.871133,dk5GIpX75D2ZMucr,5,2,2
15.934000,15.883206,WA1W6o3VVJPlYg3r,5,1,2
15.956000,15.880680,ikNRTm0Z3cHE32bl,2,5,2
16.122000,16.080985,FUpcVFzRUYJoa4b0,5,2,2
16.132000,16.062052,rHdldbyx0Hn6mdBd,2,5,2
16.159000,16.117377,v5oz8z0s7C2qb3ej,5,2,2
16.179000,16.136519,TCsCKvWXV4aCAZkn,5,1,2
16.199000,16.146547,swXEWLw3dtJRNJP1,5,1,2
16.455000,16.413082,vQaq4dmbuAWj0pc9,5,2,2
16.494000,16.452674,cb6jP7mjslP8Edn7,5,1,2
16.504000,16.458725,cxeDfKI9xnXPkhQl,5,2,2
16.631000,16.589887,vQApuwYYHeyAke1z,5,1,3
16.656000,16.511395,Hma7YxwEVZ7XPoVh,2,5,2
16.708000,16.666837,3GY4Iazp8eMc5bl0,5,1,2
16.936000,16.750929,GIrkscGd8rWKsZdG,2,5,2
17.076000,17.010659,I6vyZN1hC5ofImJo,2,5,2
17.086000,17.042596,cDEQB0QHsjXHxjhb,5,1,2
17.573000,17.531911,IlfKb4UGd3Mu46Iz,5,1,2
17.596000,17.554972,kWLLE5MY8Y1EfHTi,5,1,3
17.617000,17.575910,wB5dwLw8WK1lRm47,5,1,3
17.706000,4.983719,pHa5D2WykTnhjw1X,1,5,3
17.741000,5.026061,KOJwyb78HN89xZc0,1,5,3
17.881000,5.343730,mnMu6BKc63DANlky,1,5,3
17.891000,17.848634,9GD8ZychCuKaIKWz,5,2,2
17.928000,17.886833,6mlb4qUw1tbexoac,5,1,2
17.952000,17.910640,AmGnuwWEl1trS98T,5,1,2
18.054000,18.012315,IT0rYpqIhxkcMdXG,5,2,2
18.066000,18.024743,ipphceZBAqOaKq99,5,1,2
18.091000,5.653220,yQx6gHwE9Xgoepys,1,5,3
18.120000,18.078865,qblR5eB6dc97WkWP,5,2,2
18.191000,18.147564,95yAv94D6vv0WvvE,5,2,2
18.359000,18.307675,8tlt0chIaul9PMj2,5,1,2
18.369000,18.310284,NBHt0NOUuUAbXCN3,5,2,2
18.379000,18.227522,43Wbvob5qxpk56j7,2,5,2
18.389000,18.339482,BlRP9Gu9Y76cMYqV,5,1,2
18.472000,18.430305,ueGIUiRJwAmHxqp0,5,2,2
18.489000,18.447132,XmGILaG3kxsSH0Ig,5,2,2
18.546000,18.493150,o61FDTF4mIBORtu0,2,5,2
18.568000,18.526110,b7If0cqanRdCReKS,5,1,2
18.656000,18.567664,UgLGygx4WzQz72BU,2,5,2
18.830000,18.502123,C3CNJtfWfZ7qrRFS,2,5,2
18.840000,18.794968,ca6hefAhxXB1XsBU,5,2,2
18.869000,18.780827,pBYesSkWqTJARmIf,2,5,2
18.966000,18.920733,XdNwZZvl8t4e8eHk,5,1,2
19.070000,5.830341,pIM09ACY84GF75lc,1,5,3
19.175000,19.020352,VQzLCJWINaHFt0IE,2,5,2
19.195000,19.134599,I4ONz88arOxWT1MG,5,1,2
19.210000,19.158738,hnlda7Dwlnfw07Ay,2,5,2
19.245000,19.190575,iXDOl6F9ZyFI1Yij,2,5,2
19.289000,19.155360,aY7SY6HoLVg308FX,2,5,2
19.315000,19.133185,WlO7HvVnycuJgc28,2,5,2
19.360000,19.315101,DogBTcHWHPbfCcQO,5,2,2
19.385000,19.327637,o9kMSKpMOPFKwJD3,2,5,2
19.404000,19.361400,R7F1Zqlt4fryrY4e,5,1,2
19.417000,19.374337,prdYKqgEKC74JdWA,5,1,2
19.461000,19.418052,d0So4oZdUrXtKuSP,5,1,2
19.490000,19.424123,pqtKRDcT6BUOWqak,2,5,2
19.525000,19.447199,EZO2saBcIrkBaoT4,2,5,2
19.567000,19.267307,LrwpO4rxHT7RJTbY,2,5,2
19.603000,19.516210,l11h3IGgzWwGCEwJ,2,5,2
19.700000,19.555589,qxrpXiBQqFU0wv1d,2,5,2
19.819000,19.776756,iHziUvHkfRxXBwXH,5,2,2
20.365000,20.280680,QUZN89fkTlunsy3D,2,5,2
20.507000,20.464961,pG1jB6o9ZjLfnyV1,5,1,2
20.583000,20.502796,stL4aLGXKe2tQbbP,2,5,2
20.802000,20.759536,X6CMPeKpu6Fn8jSP,5,2,2
20.822000,20.759340,fjD80jF0RSMJoMuA,5,1,2
20.852000,20.785455,zmh5I9sZ0bkAniF8,5,2,2
20.862000,20.795032,vutAuTEv60C2DWXz,5,2,2
20.872000,20.798214,66IT8DsnIinwz214,5,2,2
20.902000,20.801632,WTuBebk4DgQKbs7d,2,5,2
20.932000,20.876291,ksMQxKfXxZVm6g9r,5,1,2
20.942000,20.874757,AjAMfOVavIpJ5uwu,2,5,2
20.952000,20.888290,cUXduB4uFTA4i6w4,5,2,2
21.005000,20.960080,ffxphDrTtl1tpMDn,5,1,2
21.176000,21.125367,FGWnwvm5oCi6Oox6,5,1,2
21.186000,21.115048,Pt6cxLNrlxL0EeBw,2,5,2
21.210000,21.154510,pX4IpUBB4Oh4Ylca,2,5,2
21.282000,21.208785,SPpwpCRxbtG01Xih,2,5,2
21.415000,21.354829,8WFMOsH5XqDUKPhu,2,5,2
21.450000,21.403557,oipmiAllFFUp7hXo,5,1,2
21.485000,21.431950,uYrFdR9cuj6F99O7,2,5,2
21.510000,21.467264,UywEwsJtlgTwtTT8,5,1,2
21.547000,21.504308,pWRLs4HlSOvqTdvf,5,2,2
21.578000,21.535724,vs6tGka8BRigc1rg,5,2,2
21.590000,21.534438,Uz1fmBTIVwi8uxDG,2,5,2
21.629000,21.506201,ZpnBRz5Q2BhCfrH8,2,5,2
21.752000,21.709648,g9TMjLcDccRxiEPI,5,1,3
21.767000,21.724410,6X5OgrZPOE7p0mBi,5,2,2
21.890000,21.847844,GmKCC63FiezrIsX1,5,1,2
21.940000,21.824039,hvYkOIZ7rDse6nJG,2,5,2
21.975000,7.544750,C8NQvYMoiy5Dx5yD,1,5,3
22.089000,22.046330,y1snKqakMD09nsyK,5,2,2
22.099000,22.053182,9lKDa2jfqUSH0j6n,5,1,2
22.215000,22.163026,Lkjjx87QF3Kldymx,5,1,2
22.250000,22.203143,MRbnPqXA3YE8CbgM,5,1,2
22.312000,22.269515,vkdYoFE0SIdhTdk2,5,1,3
22.379000,22.336647,mRArj4q5m0P8t44z,5,2,2
22.418000,22.375833,dK1oC55dZH2x86bE,5,2,2
22.455000,22.411545,OZyJnN4OYqIIBIXs,5,2,2
22.465000,22.418030,utE3sFH2tCweNOH5,5,1,2
22.574000,22.531124,yLCOs4vuhsCd9oUy,5,1,2
22.640000,22.570324,7hjOkqXn5ZPF5KQf,2,5,2
22.673000,22.630076,MnOAYl0AuDVMFF4s,5,1,2
22.683000,8.025648,K4qBOJTLcn17LT3J,1,5,3
22.807000,22.759933,8xb6d4wicqOSGpli,5,1,2
22.920000,22.852910,rACP9ybwy7Lyl79U,2,5,2
23.025000,22.947618,tsXEI6YjskzHl9OR,2,5,2
23.064000,22.992688,U9H9TuTqTecEfRph,2,5,2
23.101000,23.020412,eBeXbG3lIBAnWxRs,2,5,2
23.270000,8.607839,ebEbZE68atfnFuk3,1,5,3
23.280000,23.230329,yIFouJeheeAIIEqP,5,2,2
23.328000,23.271917,xEyxsttULOLEqta9,5,1,2
23.338000,23.277082,kvnfnuZOBtK5Zdh6,5,1,2
23.419000,23.342687,ZpOc73PE2U9meiJb,2,5,2
23.480000,23.404193,euwU9pzFCumrDBeK,2,5,2
23.578000,23.533338,a8HDGkQuLjciMDsN,5,2,2
23.620000,23.556581,fjOh96rMBGuEdGDV,2,5,2
23.643000,23.600439,H1yF5gSpB3ecHlda,5,2,2
23.704000,23.661150,czjvkf9vg0Rnvd7D,5,2,2
23.769000,23.651624,9qGuD0AE2BhZkluI,2,5,2
23.779000,23.729498,oGLb8COfpavyxjJa,5,2,2
23.865000,23.761289,ZpLM26CuZ7QOPyFX,2,5,2
24.005000,23.938755,V5a20Iqhd3lieugJ,2,5,2
24.032000,23.989954,AnhshNe734q21Rxg,5,2,2
24.042000,23.967154,EPxik5i970RJHZeU,2,5,2
24.075000,24.022079,mmol8d9puYSCGn3s,2,5,2
24.215000,24.115082,odEcs5XnB7cMzlmm,2,5,2
24.270000,24.228000,5mPiugrnFFGiXnLu,5,1,3
24.292000,24.072140,unm5jkVACETxO2TR,2,5,2
24.329000,23.998268,UvCa0MXHiVniLRyj,2,5,2
24.390000,24.310006,7PYiymhdugswXnPQ,2,5,2
24.534000,24.452461,wD4krcM5107cA2iy,2,5,2
24.565000,10.267304,6BwE02lvktAtGag5,1,5,3
24.618000,24.575401,V763iFcX4WD79yue,5,1,2
24.641000,24.563838,XSbAc9JGPusrtvIp,2,5,2
24.660000,24.617797,xR9uJfNxddfTm9PU,5,1,2
24.680000,24.561037,jT9tB5Hxy4iYqgmy,2,5,2
24.723000,24.680899,77n8GmkNUxtnBbcj,5,2,2
24.778000,24.705751,tdcwARTzWWNmPYH7,2,5,2
24.853000,24.778823,qP3gLv1nWjFi0mRS,2,5,2
24.881000,24.798618,fT8EN33J2kd39atu,2,5,2
24.987000,24.944835,MzXYHIEmDH8wSIx6,5,1,3
25.090000,25.024878,UcKC5kocsi2zKH9Z,2,5,2
25.125000,10.586319,NwKePUkvATGezYkY,1,5,3
25.247000,25.204624,jpG261wf9AcaM6lb,5,1,2
25.345000,25.302946,UaVt7UCVXBemsGpD,5,2,2
25.443000,25.391241,NB2YnrVntqtSWsbe,5,1,3
25.489000,25.441858,qX7HXSsvD7EUIKVt,5,1,2
25.755000,25.711669,KOSdvoTI3tgp6RGF,5,2,2
25.765000,25.685985,sgwzUG60l0HcIa4O,2,5,2
25.800000,25.685105,1q7nh0e7GphMAXTv,2,5,2
25.853000,25.801248,xunE4Qxex24mqiLI,5,2,2
25.863000,25.788070,E1yLSH2PQueYgX0v,2,5,2
25.895000,25.637001,v6uETc2ZI7haoope,2,5,2
26.084000,26.041145,0B9Z4ja7vsSeeKqX,5,2,2
26.105000,26.029010,q0foCweikeYxYUM7,2,5,2
26.168000,26.125878,4HkBfqHaorBwxSpS,5,2,2
26.210000,25.972106,ovaQS171JzYnlnuP,2,5,2
26.220000,26.172468,9B6sZF9HbDGUG3m1,5,2,2
26.261000,25.953759,74VU1Pwo3rxzoRsr,2,5,2
26.281000,26.205217,9d78YQ2ZpAJPZVyw,2,5,2
26.384000,26.341888,xJlnwFqlF0E7sRRT,5,2,2
26.394000,26.324093,1gS4XNuHv8kT5AGA,2,5,2
26.450000,26.403275,iyJFxvzspaQpWF8n,5,1,2
